"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2025","2.3133","2.3146","2.3355","2.2961","520.17M","-0.05%"
"11/07/2025","2.3144","2.2128","2.3677","2.1555","527.71M","4.59%"
"11/06/2025","2.2128","2.3429","2.4097","2.1824","509.18M","-5.55%"
"11/05/2025","2.3428","2.2056","2.3747","2.1031","606.66M","6.20%"
"11/04/2025","2.2059","2.3097","2.3645","2.0733","968.45M","-4.49%"
"11/03/2025","2.3095","2.5275","2.5315","2.2643","557.96M","-8.63%"
"11/02/2025","2.5277","2.5031","2.5511","2.4788","152.79M","0.89%"
"11/01/2025","2.5055","2.5093","2.5220","2.4777","123.60M","-0.15%"
"10/31/2025","2.5093","2.4393","2.5522","2.4344","402.78M","2.87%"
"10/30/2025","2.4394","2.5506","2.5917","2.3800","469.41M","-4.37%"
"10/29/2025","2.5507","2.6037","2.6631","2.5421","401.31M","-2.04%"
"10/28/2025","2.6039","2.6340","2.6870","2.5705","375.66M","-1.14%"
"10/27/2025","2.6341","2.6461","2.6949","2.6035","364.68M","-0.46%"
"10/26/2025","2.6462","2.5961","2.6607","2.5923","262.56M","1.93%"
"10/25/2025","2.5961","2.5106","2.6420","2.5028","282.63M","3.40%"
"10/24/2025","2.5107","2.3946","2.5140","2.3871","364.42M","4.85%"
"10/23/2025","2.3945","2.3647","2.4243","2.3620","259.21M","1.26%"
"10/22/2025","2.3648","2.4221","2.4377","2.3333","407.51M","-2.39%"
"10/21/2025","2.4228","2.4949","2.5314","2.4020","432.73M","-2.89%"
"10/20/2025","2.4950","2.3907","2.5506","2.3562","390.32M","4.36%"
"10/19/2025","2.3909","2.3596","2.4183","2.3189","266.98M","1.32%"
"10/18/2025","2.3597","2.2965","2.3913","2.2909","222.47M","2.87%"
"10/17/2025","2.2940","2.3237","2.3860","2.1953","693.73M","-1.45%"
"10/16/2025","2.3278","2.4107","2.4658","2.2857","617.81M","-3.46%"
"10/15/2025","2.4112","2.5033","2.5452","2.3796","426.47M","-3.70%"
"10/14/2025","2.5038","2.6047","2.6203","2.3917","702.99M","-3.90%"
"10/13/2025","2.6054","2.5233","2.6437","2.5145","654.71M","3.03%"
"10/12/2025","2.5289","2.3826","2.5820","2.3134","690.05M","6.15%"
"10/11/2025","2.3824","2.3642","2.5029","2.3093","1.07B","0.56%"
"10/10/2025","2.3690","2.8029","2.8360","1.5077","1.48B","-15.47%"
"10/09/2025","2.8024","2.8794","2.8798","2.7756","328.93M","-2.67%"
"10/08/2025","2.8794","2.8546","2.9236","2.8368","271.46M","0.95%"